epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.649,2.02063,3.95026,1.34678,0.00652,0.06097,0.01357,0.00619,1.79678,3.90333,1.1071,8.75e-05,8.75e-05,8.75e-05
2,292.351,1.98404,2.79098,1.16436,0.04566,0.25776,0.19691,0.08122,1.9359,3.51698,1.16863,0.000183787,0.000183787,0.000183787
3,400.756,1.88945,1.67992,1.0868,0.04215,0.31827,0.25912,0.12475,1.81018,2.95976,1.06626,0.000276115,0.000276115,0.000276115
4,502.843,1.823,1.59932,1.11192,0.96793,0.15091,0.2726,0.14228,1.79689,2.69273,1.06112,0.000364482,0.000364482,0.000364482
5,604.343,1.75745,1.44156,1.08122,0.86015,0.26004,0.24377,0.1161,1.87201,2.83017,1.10058,0.00044889,0.00044889,0.00044889
6,702.543,1.73606,1.34656,1.08606,0.97001,0.10157,0.18541,0.10107,1.88777,2.83388,1.13458,0.000529338,0.000529338,0.000529338
7,793.079,1.72349,1.25889,1.08745,0.97593,0.12899,0.24454,0.11352,1.98769,2.82092,1.18911,0.000605825,0.000605825,0.000605825
8,889.36,1.70265,1.1763,1.10562,0.76053,0.10138,0.31456,0.14111,1.8434,2.62754,1.13055,0.000678352,0.000678352,0.000678352
9,978.345,1.68891,1.10174,1.10454,0.62742,0.16149,0.38884,0.15624,1.84117,2.68488,1.15301,0.00074692,0.00074692,0.00074692
10,1075.33,1.6693,1.06782,1.09301,0.60332,0.16567,0.45583,0.17859,1.75138,2.30311,1.11891,0.000811528,0.000811528,0.000811528
11,1163.63,1.69119,1.06012,1.08157,0.67001,0.42092,0.55335,0.218,1.72895,1.9753,1.0943,0.000872175,0.000872175,0.000872175
12,1268.65,1.63796,1.01375,1.08044,0.69522,0.49335,0.6023,0.23436,1.75122,1.67829,1.12224,0.000928863,0.000928863,0.000928863
13,1364.29,1.65941,0.99628,1.08624,0.66232,0.5348,0.57713,0.24022,1.69182,1.6529,1.0863,0.000953,0.000953,0.000953
14,1460.16,1.64466,1.00605,1.08346,0.69125,0.49143,0.58845,0.22564,1.732,2.08608,1.09553,0.00092825,0.00092825,0.00092825
15,1614.67,1.61418,0.97618,1.07265,0.68365,0.59283,0.63399,0.25339,1.70891,1.44345,1.07037,0.0009035,0.0009035,0.0009035
16,1809.54,1.59823,0.94595,1.0501,0.64677,0.64097,0.63258,0.25238,1.69386,1.25134,1.079,0.00087875,0.00087875,0.00087875
17,1912.76,1.58779,0.93861,1.05504,0.64968,0.60045,0.60005,0.2507,1.69307,1.22804,1.07381,0.000854,0.000854,0.000854
18,2020.27,1.62575,0.93933,1.0613,0.65315,0.59782,0.64436,0.26665,1.65113,1.21227,1.07063,0.00082925,0.00082925,0.00082925
19,2107.6,1.5725,0.93003,1.05742,0.64679,0.67384,0.6493,0.26897,1.67482,1.06922,1.07638,0.0008045,0.0008045,0.0008045
20,2191.64,1.54869,0.92328,1.04763,0.62323,0.6742,0.66993,0.28374,1.666,0.94577,1.08571,0.00077975,0.00077975,0.00077975
21,2279.38,1.55904,0.88064,1.0459,0.6476,0.69704,0.66851,0.27562,1.72424,0.91475,1.11218,0.000755,0.000755,0.000755
22,2369.31,1.56555,0.89879,1.04385,0.68103,0.66875,0.65866,0.26764,1.65442,0.90926,1.07193,0.00073025,0.00073025,0.00073025
23,2453.89,1.58397,0.91921,1.0471,0.64854,0.67665,0.63177,0.26101,1.64566,1.03587,1.07273,0.0007055,0.0007055,0.0007055
24,2537.78,1.54532,0.89636,1.03448,0.63996,0.65128,0.61328,0.25602,1.68797,0.99762,1.08922,0.00068075,0.00068075,0.00068075
25,2624.02,1.53517,0.89051,1.0462,0.63949,0.66638,0.64543,0.26385,1.67974,0.91144,1.0933,0.000656,0.000656,0.000656
26,2709.07,1.54929,0.87551,1.03052,0.64318,0.62702,0.63866,0.25542,1.75597,0.89516,1.14047,0.00063125,0.00063125,0.00063125
27,2796.15,1.5189,0.84639,1.02793,0.70774,0.65845,0.67402,0.27313,1.68294,0.88466,1.11339,0.0006065,0.0006065,0.0006065
28,2885.92,1.54245,0.88142,1.03429,0.67441,0.6719,0.64761,0.25796,1.72108,0.88104,1.11715,0.00058175,0.00058175,0.00058175
29,2976.68,1.4955,0.86335,1.01998,0.72078,0.69295,0.69538,0.27881,1.67254,0.97739,1.09259,0.000557,0.000557,0.000557
30,3059.65,1.49277,0.84337,1.01907,0.68798,0.72462,0.69973,0.2937,1.6517,0.92262,1.0839,0.00053225,0.00053225,0.00053225
31,3143.27,1.52051,0.85439,1.0245,0.6748,0.73021,0.69037,0.2855,1.65547,0.91473,1.08551,0.0005075,0.0005075,0.0005075
32,3231.51,1.49852,0.84085,1.03207,0.67562,0.70836,0.68817,0.27923,1.67844,0.91169,1.09492,0.00048275,0.00048275,0.00048275
33,3317.61,1.50625,0.83413,1.02552,0.7028,0.71238,0.69272,0.27545,1.68152,0.87286,1.09851,0.000458,0.000458,0.000458
34,3401.45,1.46582,0.80329,1.00902,0.6861,0.71706,0.69964,0.2793,1.67934,0.83886,1.10149,0.00043325,0.00043325,0.00043325
35,3491.82,1.51109,0.81501,1.02456,0.72012,0.69105,0.69011,0.28652,1.65233,0.82049,1.08857,0.0004085,0.0004085,0.0004085
36,3577.37,1.46564,0.80739,1.01118,0.72226,0.67787,0.68084,0.28221,1.65895,0.83752,1.08833,0.00038375,0.00038375,0.00038375
37,3663.76,1.45836,0.81535,1.00848,0.73159,0.72882,0.69471,0.2906,1.65153,0.86368,1.0822,0.000359,0.000359,0.000359
38,3754.72,1.46491,0.80172,1.00731,0.72006,0.71989,0.69776,0.29158,1.64371,0.84538,1.08413,0.00033425,0.00033425,0.00033425
39,3848.49,1.44304,0.79255,0.99717,0.70382,0.72499,0.70454,0.28575,1.6448,0.82856,1.08472,0.0003095,0.0003095,0.0003095
40,3929.41,1.43632,0.7895,1.02562,0.71042,0.73128,0.71182,0.28834,1.676,0.82721,1.09042,0.00028475,0.00028475,0.00028475
41,4010.47,1.47753,0.92721,1.04073,0.70755,0.70467,0.69075,0.28061,1.72105,0.86023,1.09847,0.00026,0.00026,0.00026
42,4092.41,1.47782,0.88487,1.02836,0.72809,0.71772,0.71386,0.28545,1.6724,0.93971,1.08447,0.00023525,0.00023525,0.00023525
43,4182.15,1.44606,0.86843,1.02291,0.69009,0.712,0.68774,0.28066,1.66856,0.92021,1.09054,0.0002105,0.0002105,0.0002105
44,4263.68,1.45953,0.84018,1.02315,0.70558,0.73155,0.70879,0.28304,1.6682,0.86754,1.09014,0.00018575,0.00018575,0.00018575
45,4342.96,1.44308,0.824,1.02296,0.72638,0.72924,0.70885,0.2817,1.67409,0.86014,1.08896,0.000161,0.000161,0.000161
46,4425.08,1.45308,0.83437,1.02462,0.73125,0.71976,0.70046,0.28314,1.6605,0.87976,1.08443,0.00013625,0.00013625,0.00013625
47,4500.74,1.44029,0.82275,1.01382,0.7361,0.70479,0.69769,0.28106,1.65348,0.89508,1.08153,0.0001115,0.0001115,0.0001115
48,4577.86,1.42184,0.81912,1.00316,0.75126,0.70239,0.7001,0.2834,1.65251,0.87928,1.08003,8.675e-05,8.675e-05,8.675e-05
49,4651.89,1.41201,0.81055,1.01606,0.7451,0.70677,0.69539,0.28463,1.64978,0.85275,1.08018,6.2e-05,6.2e-05,6.2e-05
50,4730.13,1.42753,0.79464,1.01051,0.74342,0.71922,0.69847,0.28607,1.64668,0.83808,1.08179,3.725e-05,3.725e-05,3.725e-05
